List_id,List_name,List_price,List_add,List_CC,List_img,List_img_url
10009999,Horto flat with small garden,317.00,"{'street': 'Rio de Janeiro, Rio de Janeiro, Brazil', 'suburb': 'Jardim Botânico', 'government_area': 'Jardim Botânico', 'market': 'Rio De Janeiro', 'country': 'Brazil', 'country_code': 'BR', 'location': {'type': 'Point', 'coordinates': [-43.23074991429229, -22.966253551739655], 'is_location_exact': True}}",BR,"{'thumbnail_url': '', 'medium_url': '', 'picture_url': 'https://a0.muscache.com/im/pictures/5b408b9e-45da-4808-be65-4edc1f29c453.jpg?aki_policy=large', 'xl_picture_url': ''}",https://a0.muscache.com/im/pictures/5b408b9e-45da-4808-be65-4edc1f29c453.jpg?aki_policy=large
10030955,Apt Linda Vista Lagoa - Rio,701.00,"{'street': 'Rio de Janeiro, Rio de Janeiro, Brazil', 'suburb': 'Lagoa', 'government_area': 'Lagoa', 'market': 'Rio De Janeiro', 'country': 'Brazil', 'country_code': 'BR', 'location': {'type': 'Point', 'coordinates': [-43.205047082633435, -22.971950988341874], 'is_location_exact': True}}",BR,"{'thumbnail_url': '', 'medium_url': '', 'picture_url': 'https://a0.muscache.com/im/pictures/59c516bd-c7c3-4dae-8625-aff5f55ece53.jpg?aki_policy=large', 'xl_picture_url': ''}",https://a0.muscache.com/im/pictures/59c516bd-c7c3-4dae-8625-aff5f55ece53.jpg?aki_policy=large
10038496,Copacabana Apartment Posto 6,119.00,"{'street': 'Rio de Janeiro, Rio de Janeiro, Brazil', 'suburb': 'Copacabana', 'government_area': 'Copacabana', 'market': 'Rio De Janeiro', 'country': 'Brazil', 'country_code': 'BR', 'location': {'type': 'Point', 'coordinates': [-43.190849194463404, -22.984339360067814], 'is_location_exact': False}}",BR,"{'thumbnail_url': '', 'medium_url': '', 'picture_url': 'https://a0.muscache.com/im/pictures/159d489e-62ad-44c4-80a0-fab2a8f3b455.jpg?aki_policy=large', 'xl_picture_url': ''}",https://a0.muscache.com/im/pictures/159d489e-62ad-44c4-80a0-fab2a8f3b455.jpg?aki_policy=large
10051164,Catete's Colonial Big Hause Room B,250.00,"{'street': 'Rio de Janeiro, Rio de Janeiro, Brazil', 'suburb': 'Catete', 'government_area': 'Catete', 'market': 'Rio De Janeiro', 'country': 'Brazil', 'country_code': 'BR', 'location': {'type': 'Point', 'coordinates': [-43.18015675229857, -22.92638234778768], 'is_location_exact': True}}",BR,"{'thumbnail_url': '', 'medium_url': '', 'picture_url': 'https://a0.muscache.com/im/pictures/b2119f25-42e1-4770-8072-20de92e65893.jpg?aki_policy=large', 'xl_picture_url': ''}",https://a0.muscache.com/im/pictures/b2119f25-42e1-4770-8072-20de92e65893.jpg?aki_policy=large
10069642,Ótimo Apto proximo Parque Olimpico,858.00,"{'street': 'Rio de Janeiro, Rio de Janeiro, Brazil', 'suburb': 'Recreio dos Bandeirantes', 'government_area': 'Recreio dos Bandeirantes', 'market': 'Rio De Janeiro', 'country': 'Brazil', 'country_code': 'BR', 'location': {'type': 'Point', 'coordinates': [-43.4311123147628, -23.00035792660916], 'is_location_exact': False}}",BR,"{'thumbnail_url': '', 'medium_url': '', 'picture_url': 'https://a0.muscache.com/im/pictures/5b1f4beb-6e06-41f0-970b-044f2f28d957.jpg?aki_policy=large', 'xl_picture_url': ''}",https://a0.muscache.com/im/pictures/5b1f4beb-6e06-41f0-970b-044f2f28d957.jpg?aki_policy=large
10116578,Apartamento zona sul do RJ,933.00,"{'street': 'Rio de Janeiro, Rio de Janeiro, Brazil', 'suburb': 'Laranjeiras', 'government_area': 'Laranjeiras', 'market': 'Rio De Janeiro', 'country': 'Brazil', 'country_code': 'BR', 'location': {'type': 'Point', 'coordinates': [-43.1825954762751, -22.930541460367934], 'is_location_exact': False}}",BR,"{'thumbnail_url': '', 'medium_url': '', 'picture_url': 'https://a0.muscache.com/im/pictures/96bb9ea5-a164-4fb6-a136-a21b168a72d7.jpg?aki_policy=large', 'xl_picture_url': ''}",https://a0.muscache.com/im/pictures/96bb9ea5-a164-4fb6-a136-a21b168a72d7.jpg?aki_policy=large
10184012,Apto semi mobiliado,380.00,"{'street': 'Rio de Janeiro, Rio de Janeiro, Brazil', 'suburb': 'Vila Isabel', 'government_area': 'Vila Isabel', 'market': 'Rio De Janeiro', 'country': 'Brazil', 'country_code': 'BR', 'location': {'type': 'Point', 'coordinates': [-43.24277868091869, -22.915009354482486], 'is_location_exact': False}}",BR,"{'thumbnail_url': '', 'medium_url': '', 'picture_url': 'https://a0.muscache.com/im/pictures/7636a27c-6f18-41d4-b2ce-ecfa1e561451.jpg?aki_policy=large', 'xl_picture_url': ''}",https://a0.muscache.com/im/pictures/7636a27c-6f18-41d4-b2ce-ecfa1e561451.jpg?aki_policy=large
10201975,Ipanema: moderno apê 2BR + garagem,298.00,"{'street': 'Rio de Janeiro, Rio de Janeiro, Brazil', 'suburb': '', 'government_area': 'Ipanema', 'market': 'Rio De Janeiro', 'country': 'Brazil', 'country_code': 'BR', 'location': {'type': 'Point', 'coordinates': [-43.1998455458952, -22.980051683700506], 'is_location_exact': False}}",BR,"{'thumbnail_url': '', 'medium_url': '', 'picture_url': 'https://a0.muscache.com/im/pictures/d2ccb4bd-1cda-417f-98e4-4d8695ba3a8c.jpg?aki_policy=large', 'xl_picture_url': ''}",https://a0.muscache.com/im/pictures/d2ccb4bd-1cda-417f-98e4-4d8695ba3a8c.jpg?aki_policy=large
10220130,Cozy aptartment in Recreio (near Olympic Venues),746.00,"{'street': 'Rio de Janeiro, Rio de Janeiro, Brazil', 'suburb': 'Recreio dos Bandeirantes', 'government_area': 'Recreio dos Bandeirantes', 'market': 'Rio De Janeiro', 'country': 'Brazil', 'country_code': 'BR', 'location': {'type': 'Point', 'coordinates': [-43.45296045334386, -23.008710784460312], 'is_location_exact': True}}",BR,"{'thumbnail_url': '', 'medium_url': '', 'picture_url': 'https://a0.muscache.com/im/pictures/f48f9243-6bf3-4dea-bc50-c29d88f4e6b2.jpg?aki_policy=large', 'xl_picture_url': ''}",https://a0.muscache.com/im/pictures/f48f9243-6bf3-4dea-bc50-c29d88f4e6b2.jpg?aki_policy=large
10228731,Quarto inteiro na Tijuca,149.00,"{'street': 'Rio de Janeiro, Rio de Janeiro, Brazil', 'suburb': 'Tijuca', 'government_area': 'Tijuca', 'market': 'Rio De Janeiro', 'country': 'Brazil', 'country_code': 'BR', 'location': {'type': 'Point', 'coordinates': [-43.247421907135774, -22.936203246553816], 'is_location_exact': False}}",BR,"{'thumbnail_url': '', 'medium_url': '', 'picture_url': 'https://a0.muscache.com/im/pictures/de6ab94d-9bcb-4f57-80f6-388aeaaa89c6.jpg?aki_policy=large', 'xl_picture_url': ''}",https://a0.muscache.com/im/pictures/de6ab94d-9bcb-4f57-80f6-388aeaaa89c6.jpg?aki_policy=large
